#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  14700      3.22e+00    2.69e+00      4.99e-02    5.19e-02      1.69e-01    1.41e-01    3.6e-04
  14800      1.40e+00    1.82e+00      3.02e-03    3.69e-03      7.40e-02    9.58e-02    3.6e-04
  14900      2.40e+00    8.83e-01      1.54e-02    1.07e-02      1.27e-01    4.64e-02    3.6e-04
  15000      5.55e-01    9.02e-01      9.38e-03    7.72e-03      3.75e-02    6.13e-02    2.1e-04
  15100      4.23e-01    1.27e+00      4.42e-03    4.59e-03      2.87e-02    8.64e-02    2.1e-04
  15200      8.82e-01    1.41e+00      5.34e-03    5.29e-03      6.00e-02    9.60e-02    2.1e-04
  15300      1.49e+00    8.24e-01      6.39e-03    5.58e-03      1.01e-01    5.61e-02    2.1e-04
  15400      9.03e-01    6.56e-01      1.01e-02    1.04e-02      6.13e-02    4.44e-02    2.1e-04
  15500      2.14e+00    6.04e-01      1.79e-03    2.92e-03      1.46e-01    4.11e-02    2.1e-04
  15600      4.58e-01    6.03e-01      7.39e-03    6.65e-03      3.10e-02    4.10e-02    2.1e-04
  15700      3.05e-01    2.61e-01      1.84e-02    1.87e-02      1.87e-02    1.53e-02    2.1e-04
  15800      1.23e+00    7.70e-01      2.53e-03    1.23e-03      8.38e-02    5.25e-02    2.1e-04
  15900      6.73e-01    1.36e+00      1.16e-02    8.91e-03      4.55e-02    9.28e-02    2.1e-04
  16000      6.32e-01    5.71e-01      8.42e-03    8.29e-03      4.28e-02    3.87e-02    2.1e-04
  16100      5.59e-01    1.05e+00      6.13e-03    5.35e-03      3.79e-02    7.17e-02    2.1e-04
  16200      8.03e-01    1.36e+00      1.22e-04    1.67e-03      5.47e-02    9.27e-02    2.1e-04
  16300      6.90e-01    1.78e+00      1.32e-02    1.45e-02      4.66e-02    1.21e-01    2.1e-04
  16400      2.15e+00    1.03e+00      4.22e-03    7.33e-03      1.47e-01    7.03e-02    2.1e-04
  16500      6.80e-01    1.80e+00      4.48e-03    6.85e-03      4.63e-02    1.23e-01    2.1e-04
  16600      7.90e-01    4.94e-01      9.06e-03    8.49e-03      5.37e-02    3.34e-02    2.1e-04
  16700      4.93e-01    1.27e+00      4.23e-03    4.74e-03      3.35e-02    8.62e-02    2.1e-04
  16800      7.16e-01    8.74e-01      1.06e-02    1.10e-02      4.85e-02    5.93e-02    2.1e-04
  16900      1.35e-01    3.85e-01      8.95e-03    8.58e-03      8.13e-03    2.59e-02    2.1e-04
  17000      2.91e-01    7.09e-01      2.68e-02    2.73e-02      1.50e-02    4.64e-02    2.1e-04
  17100      4.49e-01    9.21e-01      1.16e-02    1.34e-02      3.01e-02    6.24e-02    2.1e-04
  17200      9.30e-01    1.05e+00      1.09e-03    7.72e-04      6.34e-02    7.15e-02    2.1e-04
  17300      9.50e-01    7.65e-01      8.74e-03    9.89e-03      6.46e-02    5.19e-02    2.1e-04
  17400      5.46e-01    1.68e+00      3.92e-04    1.75e-03      3.72e-02    1.14e-01    2.1e-04
  17500      9.27e-01    1.33e+00      1.65e-03    4.13e-04      6.31e-02    9.08e-02    2.1e-04
  17600      6.85e-01    8.09e-01      4.26e-03    5.51e-03      4.66e-02    5.50e-02    2.1e-04
  17700      1.31e+00    5.79e-01      1.15e-03    5.20e-04      8.90e-02    3.94e-02    2.1e-04
  17800      1.48e+00    1.34e+00      4.11e-03    7.41e-03      1.01e-01    9.12e-02    2.1e-04
  17900      9.15e-01    1.44e+00      1.27e-02    1.51e-02      6.20e-02    9.76e-02    2.1e-04
  18000      1.16e+00    1.72e+00      2.62e-02    3.12e-02      7.81e-02    1.16e-01    2.1e-04
  18100      9.92e-01    6.51e-01      1.54e-02    1.34e-02      6.72e-02    4.39e-02    2.1e-04
  18200      1.66e+00    1.46e+00      3.89e-03    5.70e-03      1.13e-01    9.96e-02    2.1e-04
  18300      1.01e+00    1.35e+00      8.56e-03    3.78e-03      6.86e-02    9.17e-02    2.1e-04
  18400      1.38e+00    4.80e-01      4.04e-03    7.49e-03      9.37e-02    3.25e-02    2.1e-04
  18500      1.29e+00    2.05e+00      3.72e-02    3.57e-02      8.61e-02    1.39e-01    2.1e-04
  18600      1.87e+00    9.73e-01      7.80e-03    6.18e-03      1.27e-01    6.62e-02    2.1e-04
  18700      1.32e+00    4.71e-01      1.38e-02    1.66e-02      8.97e-02    3.11e-02    2.1e-04
  18800      8.35e-01    4.24e-01      3.87e-03    3.59e-03      5.69e-02    2.88e-02    2.1e-04
  18900      7.20e-01    5.41e-01      1.03e-02    9.16e-03      4.88e-02    3.66e-02    2.1e-04
  19000      1.33e+00    1.27e+00      8.45e-03    6.23e-03      9.04e-02    8.68e-02    2.1e-04
  19100      2.08e+00    4.84e-01      9.64e-03    8.60e-03      1.42e-01    3.27e-02    2.1e-04
  19200      9.34e-01    1.32e+00      5.39e-03    4.44e-03      6.36e-02    8.98e-02    2.1e-04
  19300      7.30e-01    7.02e-01      1.19e-02    1.26e-02      4.94e-02    4.75e-02    2.1e-04
  19400      8.65e-01    9.66e-01      8.50e-04    1.25e-03      5.89e-02    6.58e-02    2.1e-04
  19500      1.25e+00    1.03e+00      8.33e-04    1.01e-04      8.53e-02    7.02e-02    2.1e-04
  19600      5.60e-01    1.36e+00      1.61e-02    1.57e-02      3.73e-02    9.23e-02    2.1e-04
  19700      7.41e-01    1.72e+00      1.56e-03    8.71e-05      5.04e-02    1.17e-01    2.1e-04
  19800      2.20e+00    8.23e-01      6.66e-03    6.47e-03      1.50e-01    5.59e-02    2.1e-04
  19900      1.02e+00    1.20e+00      3.17e-03    2.82e-03      6.97e-02    8.20e-02    2.1e-04
  20000      4.33e-01    1.46e+00      5.58e-04    1.44e-03      3.80e-02    1.29e-01    1.3e-04
  20100      3.58e-01    5.11e-01      1.20e-03    2.00e-03      3.15e-02    4.49e-02    1.3e-04
  20200      9.10e-01    5.41e-01      1.66e-03    2.51e-03      7.99e-02    4.75e-02    1.3e-04
  20300      6.82e-01    8.95e-01      1.95e-03    1.83e-04      5.99e-02    7.86e-02    1.3e-04
  20400      5.52e-01    1.05e+00      8.39e-03    5.72e-03      4.82e-02    9.25e-02    1.3e-04
  20500      7.04e-01    5.23e-01      3.32e-03    2.89e-03      6.18e-02    4.59e-02    1.3e-04
  20600      5.66e-01    8.17e-01      9.91e-03    1.06e-02      4.94e-02    7.15e-02    1.3e-04
  20700      7.72e-01    3.13e-01      1.86e-03    2.36e-03      6.78e-02    2.75e-02    1.3e-04
  20800      7.59e-01    1.31e+00      6.62e-03    9.03e-03      6.66e-02    1.15e-01    1.3e-04
  20900      4.80e-01    4.84e-01      6.69e-04    5.72e-04      4.22e-02    4.25e-02    1.3e-04
  21000      5.82e-01    9.24e-01      1.21e-02    1.44e-02      5.05e-02    8.07e-02    1.3e-04
  21100      1.04e+00    8.84e-01      1.20e-03    1.32e-03      9.11e-02    7.77e-02    1.3e-04
  21200      7.03e-01    5.77e-01      2.90e-04    1.18e-03      6.18e-02    5.07e-02    1.3e-04
  21300      7.31e-01    1.08e+00      1.61e-02    1.21e-02      6.34e-02    9.50e-02    1.3e-04
  21400      7.82e-01    3.75e-01      1.04e-03    9.88e-04      6.88e-02    3.30e-02    1.3e-04
  21500      7.82e-01    3.57e-01      1.91e-03    8.21e-04      6.87e-02    3.14e-02    1.3e-04
  21600      5.25e-01    4.14e-01      9.37e-03    8.32e-03      4.57e-02    3.60e-02    1.3e-04
  21700      5.88e-01    7.26e-01      2.16e-03    2.36e-03      5.16e-02    6.38e-02    1.3e-04
  21800      1.04e+00    3.69e-01      3.16e-03    4.42e-03      9.18e-02    3.23e-02    1.3e-04
  21900      5.75e-01    3.16e-01      3.09e-03    8.61e-04      5.05e-02    2.78e-02    1.3e-04
  22000      1.03e+00    5.60e-01      1.52e-04    5.59e-04      9.03e-02    4.92e-02    1.3e-04
  22100      5.09e-01    1.13e+00      8.10e-04    3.70e-04      4.47e-02    9.93e-02    1.3e-04
  22200      2.93e-01    5.00e-01      6.05e-03    5.20e-03      2.54e-02    4.38e-02    1.3e-04
  22300      1.06e+00    5.73e-01      1.60e-03    5.31e-03      9.33e-02    5.02e-02    1.3e-04
  22400      4.50e-01    3.10e-01      4.82e-03    5.05e-03      3.94e-02    2.70e-02    1.3e-04
  22500      7.21e-01    1.20e+00      5.44e-03    6.39e-03      6.33e-02    1.05e-01    1.3e-04
  22600      3.20e-01    1.61e+00      2.04e-02    2.65e-02      2.48e-02    1.40e-01    1.3e-04
  22700      1.59e+00    3.01e-01      5.89e-04    1.89e-03      1.40e-01    2.64e-02    1.3e-04
  22800      6.84e-01    1.57e+00      5.37e-03    5.58e-03      6.00e-02    1.38e-01    1.3e-04
  22900      6.45e-01    5.12e-01      8.24e-03    6.96e-03      5.65e-02    4.48e-02    1.3e-04
  23000      1.23e+00    2.69e-01      9.09e-04    1.94e-03      1.08e-01    2.36e-02    1.3e-04
  23100      9.95e-01    1.26e+00      5.26e-03    1.44e-03      8.74e-02    1.11e-01    1.3e-04
  23200      9.11e-01    1.31e+00      1.05e-02    9.19e-03      7.98e-02    1.15e-01    1.3e-04
  23300      4.70e-01    4.82e-01      9.30e-03    9.21e-03      4.08e-02    4.20e-02    1.3e-04
  23400      9.18e-01    8.25e-01      7.23e-03    4.47e-03      8.05e-02    7.25e-02    1.3e-04
  23500      2.22e-01    1.47e+00      1.23e-02    7.62e-03      1.77e-02    1.29e-01    1.3e-04
  23600      6.90e-01    1.05e+00      4.20e-03    7.31e-03      6.06e-02    9.20e-02    1.3e-04
  23700      8.72e-01    3.98e-01      6.85e-03    7.61e-03      7.65e-02    3.46e-02    1.3e-04
  23800      8.13e-01    8.68e-01      7.39e-03    7.73e-03      7.13e-02    7.61e-02    1.3e-04
  23900      9.26e-01    5.12e-01      6.54e-03    5.77e-03      8.13e-02    4.49e-02    1.3e-04
  24000      1.10e+00    5.52e-01      8.26e-03    7.94e-03      9.64e-02    4.82e-02    1.3e-04
  24100      7.41e-01    1.19e+00      2.13e-04    1.12e-04      6.51e-02    1.05e-01    1.3e-04
  24200      6.90e-01    7.54e-01      1.36e-03    1.18e-03      6.07e-02    6.63e-02    1.3e-04
  24300      8.32e-01    6.08e-01      7.83e-04    1.53e-03      7.32e-02    5.34e-02    1.3e-04
  24400      8.58e-01    5.59e-01      2.78e-03    4.36e-03      7.54e-02    4.91e-02    1.3e-04
  24500      5.41e-01    1.14e+00      3.36e-03    4.14e-03      4.75e-02    1.00e-01    1.3e-04
  24600      6.54e-01    5.45e-01      6.57e-04    2.67e-04      5.75e-02    4.79e-02    1.3e-04
